# nombre_artista;nombre_album;nombre_cancion;popularidad;duracion_ms;track_id
bizarrap;Quevedo: Bzrp Music Sessions, Vol. 52;Quevedo: Bzrp Music Sessions, Vol. 52;99;198937;2tTmW7RDtMQtBk7m2rYeSw
manuel turizo;La Bachata;La Bachata;98;162637;5ww2BF9slyYgNOk37BlC4u
joji;Glimpse of Us;Glimpse of Us;94;233456;6xGruZOHLs39ZbVccQTuPZ
beyoncé;RENAISSANCE;CUFF IT;93;225388;1xzi1Jcr7mEi9K2RfzLOqS
harry styles;As It Was;As It Was;95;167303;4LRPiXqCikLlN15c3yImP7
harry styles;Harry's House;As It Was;92;167303;4Dvkj6JhhA12EX05fT7y2e
harry styles;Fine Line;Watermelon Sugar;89;174000;6UelLqGlWMcVH1E5c4H7lY
rema;Calm Down (with Selena Gomez);Calm Down (with Selena Gomez);92;239317;0WtM2NBVQNNJLh6scP13H8
luar la l;L3tra;Caile;91;141340;6i1g5ZRmJZAkDwBaUZ3f2i
elley duhé;MIDDLE OF THE NIGHT;MIDDLE OF THE NIGHT;90;184447;58HvfVOeJY7lUuCqF0m3ly
beach weather;Chit Chat;Sex, Drugs, Etc.;90;196784;7DbdUf8aHSYoliSjO6LZv6
pablo pesadilla;BABY OTAKU;BABY OTAKU;88;176470;0kTMK4gNFfLXaTb62w1UaJ
olivia rodrigo;SOUR;drivers license;88;242013;5wANPM4fQCJwkGd4rN57mH
olivia rodrigo;SOUR;traitor;88;229226;5CZ40GBx1sQ9agT82CLQCT
olivia rodrigo;SOUR;good 4 u;88;178146;4ZtFanR9U6ndgddUvNcjcG
olivia rodrigo;SOUR;deja vu;87;215506;6HU7h9RYOaPRFeh0R3UeAr
olivia rodrigo;SOUR;happier;86;175933;2tGvwE8GcFKwNdAXMnlbfl
yung gravy;Betty (Get Money);Betty (Get Money);87;146470;4cacyP5c3PMlfnyjpg13xW
lewis capaldi;Divinely Uninspired To A Hellish Extent;Someone You Loved;87;182160;7qEHsqek33rTcFNT9PFqLf
conan gray;Kid Krow;Heather;87;198040;4xqrdfXkTW4T0RauPLv3WA
benson boone;In The Stars;In The Stars;86;216410;1ei3hzQmrgealgRKFxIcWn
